date,order_id,customer_id,beverage,Cost Price,Selling Price
"Thursday, March 09, 2023",1008944,381,TropicalTwist,45.46,96.8112
"Wednesday, March 01, 2023",1008218,236,CitrusSplash,49.828,96.8112
"Thursday, March 16, 2023",1006945,1417,PeachPunch,63.008,96.8112
"Wednesday, September 27, 2023",1019451,1244,MintCooler,82.184,96.8112
"Monday, January 02, 2023",1017673,1526,FizzBerry,90.052,96.8112
"Wednesday, August 02, 2023",1011900,1163,ChocoDelight,120.4,96.8112
"Friday, December 22, 2023",1009825,2025,TropicalTwist,123.772,96.8112
"Wednesday, May 24, 2023",1011730,1565,FizzBerry,22.348,96.8112
"Monday, May 29, 2023",1019317,2789,MangoBliss,115.488,96.8112
"Friday, January 20, 2023",1011856,2584,FizzBerry,228.232,96.8112
"Tuesday, December 26, 2023",1018390,1817,PeachPunch,331.604,96.8112
"Sunday, October 01, 2023",1014114,1249,GingerFizz,554.084,96.8112
"Saturday, October 28, 2023",1008046,131,PeachPunch,88.524,96.8112
"Thursday, December 21, 2023",1006694,318,GingerFizz,101.192,96.8112
"Friday, October 06, 2023",1015275,288,FizzBerry,132.764,96.8112
"Thursday, August 17, 2023",1010637,810,MintCooler,150.748,96.8112
"Wednesday, September 13, 2023",1008694,1432,FizzBerry,151.68,96.8112
"Tuesday, March 21, 2023",1018369,1356,LemonZest,155.244,96.8112
"Thursday, October 26, 2023",1017528,1973,CitrusSplash,177.724,96.8112
"Sunday, September 17, 2023",1018087,2843,MangoBliss,182.22,96.8112
"Saturday, August 12, 2023",1009951,52,MintCooler,211.444,96.8112
"Friday, June 02, 2023",1018775,1403,ChocoDelight,213.692,112.9464
"Saturday, July 22, 2023",1009148,1883,FizzBerry,117.368,112.9464
"Sunday, March 19, 2023",1017783,1405,PeachPunch,119.4,112.9464
"Saturday, December 23, 2023",1011047,275,MintCooler,13.08,112.9464
"Tuesday, August 29, 2023",1010143,2579,MangoBliss,20.64,112.9464
"Sunday, November 19, 2023",1018552,1369,TropicalTwist,21.764,112.9464
"Wednesday, July 12, 2023",1013351,365,PeachPunch,32.188,112.9464
"Monday, November 13, 2023",1017724,673,ChocoDelight,32.188,112.9464
"Friday, November 10, 2023",1006449,302,MintCooler,58.296,112.9464
"Thursday, August 10, 2023",1007091,321,MangoBliss,104.448,112.9464
"Monday, March 20, 2023",1014200,982,CitrusSplash,109.744,112.9464
"Wednesday, September 13, 2023",1007523,1651,PeachPunch,126.48,112.9464
"Saturday, October 14, 2023",1019588,2795,MintCooler,137.844,112.9464
"Saturday, December 23, 2023",1014380,2850,GingerFizz,140.092,112.9464
"Thursday, June 08, 2023",1007472,2537,MangoBliss,148.464,112.9464
"Saturday, June 03, 2023",1014924,1897,ChocoDelight,156.952,112.9464
"Monday, February 27, 2023",1013258,158,TropicalTwist,163.696,112.9464
"Friday, February 24, 2023",1015999,2283,MintCooler,205.284,112.9464
"Saturday, November 11, 2023",1011612,2721,PeachPunch,214.276,112.9464
"Sunday, January 01, 2023",1019907,2360,PeachPunch,215.4,112.9464
"Thursday, August 10, 2023",1017464,2062,FizzBerry,217.648,129.0816
"Monday, December 18, 2023",1007425,1402,GingerFizz,6.016,129.0816
"Wednesday, June 28, 2023",1011327,2252,FizzBerry,92.344,129.0816
"Monday, January 02, 2023",1013551,2145,MintCooler,99.088,129.0816
"Wednesday, November 08, 2023",1013856,2032,TropicalTwist,119.32,129.0816
"Saturday, April 08, 2023",1009183,1436,ChocoDelight,138.092,129.0816
"Sunday, November 12, 2023",1012834,278,GingerFizz,164.28,129.0816
"Friday, September 08, 2023",1009765,2673,LemonZest,192.38,129.0816
"Tuesday, August 29, 2023",1013588,2145,LemonZest,203.62,129.0816
"Friday, August 11, 2023",1014521,1124,ChocoDelight,208.116,129.0816
"Monday, September 25, 2023",1010798,1630,GingerFizz,30.524,129.0816
"Saturday, June 17, 2023",1011060,1932,GingerFizz,35.02,129.0816
"Monday, November 20, 2023",1011609,1605,CitrusSplash,39.516,129.0816
"Wednesday, September 27, 2023",1015194,2409,FizzBerry,54.128,129.0816
"Monday, January 23, 2023",1007525,2644,MintCooler,84.188,129.0816
"Monday, February 06, 2023",1011116,888,ChocoDelight,118.196,145.2168
"Tuesday, June 27, 2023",1015175,1469,LemonZest,10.48,145.2168
"Friday, June 16, 2023",1016318,1829,CitrusSplash,13.852,145.2168
"Monday, October 09, 2023",1010157,1086,MintCooler,20.992,145.2168
"Tuesday, October 03, 2023",1017776,254,PeachPunch,20.992,145.2168
"Wednesday, May 24, 2023",1013702,436,LemonZest,21.72,145.2168
"Saturday, July 29, 2023",1009553,1633,ChocoDelight,26.216,145.2168
"Sunday, January 15, 2023",1012600,1306,CitrusSplash,47.968,145.2168
"Sunday, January 29, 2023",1014826,2115,FizzBerry,59.208,145.2168
"Sunday, July 16, 2023",1011083,1961,TropicalTwist,81.688,145.2168
"Friday, March 24, 2023",1018077,996,PeachPunch,113.16,145.2168
"Wednesday, August 30, 2023",1013362,2230,ChocoDelight,144.632,154.89792
"Tuesday, April 11, 2023",1018777,2834,BerryBlast,21.792,161.352
"Friday, July 21, 2023",1011774,2566,FizzBerry,20.452,161.352
"Tuesday, January 24, 2023",1006863,248,MintCooler,30.524,161.352
"Saturday, July 22, 2023",1019049,1199,CitrusSplash,45.18,161.352
"Wednesday, October 11, 2023",1008538,2378,GingerFizz,50.944,161.352
"Friday, December 15, 2023",1007293,2406,PeachPunch,56.468,161.352
"Friday, July 21, 2023",1009866,1547,FizzBerry,21.136,161.352
"Wednesday, August 30, 2023",1018917,432,MangoBliss,21.576,161.352
"Sunday, August 27, 2023",1006395,337,PeachPunch,3.244,161.352
"Friday, August 11, 2023",1007428,1650,MintCooler,51.12,161.352
"Thursday, August 31, 2023",1009743,2613,FizzBerry,66.536,161.352
"Wednesday, August 09, 2023",1009035,1643,MintCooler,75.1,161.352
"Tuesday, October 17, 2023",1015754,2131,ChocoDelight,82.272,161.352
"Sunday, December 17, 2023",1012253,138,TropicalTwist,89.016,161.352
"Saturday, November 04, 2023",1008306,2609,TropicalTwist,113.324,161.352
"Friday, June 23, 2023",1012019,1439,FizzBerry,180.06,161.352
"Wednesday, August 02, 2023",1009727,1918,MangoBliss,205.912,161.352
"Sunday, February 26, 2023",1010405,1021,CitrusSplash,210.408,177.4872
"Sunday, April 02, 2023",1014019,807,FizzBerry,44.64,177.4872
"Saturday, December 09, 2023",1009504,789,GingerFizz,50.26,177.4872
"Wednesday, June 14, 2023",1009802,2744,MangoBliss,55.88,177.4872
"Monday, February 13, 2023",1017631,2496,CitrusSplash,57.004,177.4872
"Thursday, July 06, 2023",1012083,2661,MangoBliss,59.252,177.4872
"Thursday, May 11, 2023",1015936,1971,MangoBliss,60.376,177.4872
"Monday, November 06, 2023",1010180,2190,ChocoDelight,70.492,177.4872
"Wednesday, February 22, 2023",1009276,2346,FizzBerry,78.444,177.4872
"Saturday, August 12, 2023",1013427,1638,MintCooler,81.732,177.4872
"Thursday, July 06, 2023",1009529,15,LemonZest,98.592,177.4872
"Monday, May 15, 2023",1016184,2373,TropicalTwist,101.964,177.4872
"Thursday, November 16, 2023",1014330,165,ChocoDelight,107.584,177.4872
"Tuesday, September 12, 2023",1018202,1545,CitrusSplash,123.32,177.4872
"Sunday, April 02, 2023",1017565,1281,LemonZest,126.692,177.4872
"Saturday, August 12, 2023",1018151,1763,MangoBliss,128.94,177.4872
"Monday, August 14, 2023",1009305,1965,MangoBliss,139.056,177.4872
"Tuesday, August 22, 2023",1018959,1599,GingerFizz,139.056,177.4872
"Saturday, May 13, 2023",1014839,2401,TropicalTwist,195.256,177.4872
"Thursday, May 04, 2023",1011171,1100,FizzBerry,10.436,177.4872
"Wednesday, November 08, 2023",1016743,831,MangoBliss,0.804,177.4872
"Tuesday, September 19, 2023",1009274,2844,PeachPunch,103.692,177.4872
"Monday, September 04, 2023",1010982,1597,ChocoDelight,4.816,177.4872
"Wednesday, February 15, 2023",1018406,2447,MintCooler,20.552,177.4872
"Saturday, October 28, 2023",1009076,595,GingerFizz,26.236,180.71424
"Wednesday, October 18, 2023",1011614,1879,BerryBlast,3.8,180.71424
"Saturday, January 21, 2023",1009150,1336,BerryBlast,6.628,180.71424
"Thursday, August 10, 2023",1016001,540,BerryBlast,36.664,180.71424
"Tuesday, July 18, 2023",1017726,2163,BerryBlast,135.576,180.71424
"Tuesday, December 12, 2023",1010145,687,BerryBlast,171.544,193.6224
"Sunday, June 04, 2023",1008173,760,GingerFizz,67.548,193.6224
"Saturday, July 29, 2023",1010220,2315,ChocoDelight,141.888,193.6224
"Tuesday, September 12, 2023",1013272,107,LemonZest,168.864,193.6224
"Sunday, June 11, 2023",1009640,1655,MintCooler,175.608,193.6224
"Friday, November 03, 2023",1013659,1507,PeachPunch,181.228,193.6224
"Tuesday, March 14, 2023",1009592,409,ChocoDelight,204.832,193.6224
"Wednesday, December 27, 2023",1017438,1394,CitrusSplash,210.452,193.6224
"Saturday, December 16, 2023",1017261,2209,PeachPunch,212.7,193.6224
"Wednesday, September 06, 2023",1010518,2516,MintCooler,40.728,193.6224
"Tuesday, November 07, 2023",1017124,1565,GingerFizz,40.728,193.6224
"Friday, September 01, 2023",1011317,62,PeachPunch,3.636,193.6224
"Friday, March 24, 2023",1017167,619,GingerFizz,8.132,193.6224
"Saturday, October 14, 2023",1018500,1420,PeachPunch,9.852,193.6224
"Thursday, December 07, 2023",1012878,1332,GingerFizz,14.348,193.6224
"Monday, January 09, 2023",1015967,1280,PeachPunch,22.216,193.6224
"Wednesday, December 13, 2023",1013788,762,MangoBliss,25.588,193.6224
"Tuesday, February 21, 2023",1017481,789,CitrusSplash,27.24,193.6224
"Monday, January 09, 2023",1013852,28,LemonZest,28.364,193.6224
"Tuesday, May 30, 2023",1006110,949,CitrusSplash,64.7,193.6224
"Tuesday, October 10, 2023",1007763,1323,GingerFizz,97.52,193.6224
"Thursday, January 12, 2023",1006422,877,PeachPunch,37.588,193.6224
"Tuesday, November 21, 2023",1019769,1582,FizzBerry,48.596,193.6224
"Sunday, December 10, 2023",1015385,255,ChocoDelight,119.408,193.6224
"Tuesday, May 30, 2023",1014055,580,TropicalTwist,123.904,193.6224
"Thursday, January 05, 2023",1015221,1863,MintCooler,127.276,206.53056
"Sunday, September 17, 2023",1009185,463,BerryBlast,50.708,206.53056
"Sunday, June 18, 2023",1012836,2847,BerryBlast,112.232,209.7576
"Tuesday, November 21, 2023",1007971,2172,GingerFizz,63.58,209.7576
"Friday, August 25, 2023",1014831,467,CitrusSplash,64.916,209.7576
"Tuesday, July 18, 2023",1010132,2795,TropicalTwist,68.288,209.7576
"Saturday, December 16, 2023",1012061,2834,MintCooler,85.148,209.7576
"Wednesday, January 18, 2023",1019021,339,FizzBerry,102.008,209.7576
"Sunday, December 31, 2023",1008755,1314,FizzBerry,129.24,209.7576
"Sunday, November 19, 2023",1014047,1188,LemonZest,2.524,209.7576
"Tuesday, June 13, 2023",1010839,311,MangoBliss,11.516,209.7576
"Sunday, October 22, 2023",1018467,1830,PeachPunch,45.808,209.7576
"Sunday, September 17, 2023",1008501,142,FizzBerry,49.124,209.7576
"Monday, April 03, 2023",1014747,642,ChocoDelight,58.172,209.7576
"Saturday, January 21, 2023",1011181,717,MangoBliss,59.296,209.7576
"Monday, July 31, 2023",1006582,514,GingerFizz,4.688,209.7576
"Monday, March 27, 2023",1006869,2516,LemonZest,63.72,209.7576
"Sunday, February 19, 2023",1007785,1593,GingerFizz,159.992,209.7576
"Monday, February 20, 2023",1018199,2663,GingerFizz,171.696,209.7576
"Saturday, August 12, 2023",1016029,1835,PeachPunch,178.44,209.7576
"Tuesday, April 18, 2023",1010109,614,MangoBliss,180.688,209.7576
"Friday, April 07, 2023",1013920,1563,CitrusSplash,180.688,225.8928
"Monday, August 21, 2023",1009268,466,PeachPunch,62.82,225.8928
"Friday, January 27, 2023",1009922,1835,LemonZest,6.436,225.8928
"Saturday, November 11, 2023",1009235,1202,PeachPunch,35.912,225.8928
"Thursday, September 14, 2023",1015033,1595,CitrusSplash,21.664,225.8928
"Sunday, October 08, 2023",1005950,114,GingerFizz,38.104,225.8928
"Wednesday, November 29, 2023",1008065,1340,MintCooler,45.384,225.8928
"Thursday, March 30, 2023",1011199,753,ChocoDelight,49.764,225.8928
"Wednesday, June 14, 2023",1017182,321,CitrusSplash,56.508,225.8928
"Tuesday, January 24, 2023",1016827,1539,CitrusSplash,72.244,225.8928
"Thursday, November 16, 2023",1010890,881,TropicalTwist,76.74,225.8928
"Wednesday, November 08, 2023",1009174,1319,MangoBliss,124.144,225.8928
"Thursday, August 24, 2023",1015848,930,GingerFizz,143.056,225.8928
"Wednesday, July 19, 2023",1014602,2392,LemonZest,159.916,225.8928
"Wednesday, November 15, 2023",1005790,914,MintCooler,188.412,225.8928
"Sunday, October 15, 2023",1010871,2051,MintCooler,202.628,232.34688
"Wednesday, December 27, 2023",1013704,1200,BerryBlast,81.02,232.34688
"Sunday, December 10, 2023",1017778,2425,BerryBlast,163.072,232.34688
"Friday, June 23, 2023",1012602,2486,BerryBlast,179.932,242.028
"Wednesday, December 27, 2023",1006580,1849,TropicalTwist,51.456,242.028
"Tuesday, June 13, 2023",1011838,2087,MangoBliss,71.704,242.028
"Friday, December 15, 2023",1019577,712,ChocoDelight,76.2,242.028
"Saturday, April 22, 2023",1012144,2307,ChocoDelight,104.3,242.028
"Wednesday, March 08, 2023",1009788,2274,FizzBerry,123.408,242.028
"Thursday, December 21, 2023",1017398,736,FizzBerry,156.004,242.028
"Saturday, September 23, 2023",1013952,1119,CitrusSplash,159.376,242.028
"Wednesday, April 05, 2023",1014493,1864,TropicalTwist,184.104,242.028
"Monday, July 24, 2023",1011605,1010,GingerFizz,202.088,242.028
"Tuesday, June 27, 2023",1014150,1372,LemonZest,203.212,242.028
"Monday, September 11, 2023",1019439,1635,MangoBliss,0.892,242.028
"Wednesday, November 22, 2023",1017406,2138,MintCooler,2.48,242.028
"Wednesday, January 11, 2023",1018183,1196,MangoBliss,10.348,242.028
"Thursday, July 13, 2023",1015830,1256,TropicalTwist,12.132,242.028
"Friday, October 27, 2023",1012800,864,GingerFizz,12.596,242.028
"Monday, January 09, 2023",1016070,468,MangoBliss,23.836,242.028
"Sunday, May 14, 2023",1014515,1990,GingerFizz,34.612,242.028
"Saturday, March 11, 2023",1011571,384,CitrusSplash,45.852,242.028
"Monday, September 18, 2023",1014840,907,FizzBerry,63.836,242.028
"Friday, January 13, 2023",1019366,99,ChocoDelight,66.084,242.028
"Thursday, June 08, 2023",1014805,1257,LemonZest,75.076,242.028
"Thursday, March 30, 2023",1015459,872,LemonZest,87.44,256.8384
"Sunday, March 12, 2023",1005188,866,LemonZest,85.36,258.1632
"Tuesday, October 10, 2023",1006270,2248,ChocoDelight,43.276,258.1632
"Friday, October 27, 2023",1006751,975,ChocoDelight,98.256,258.1632
"Thursday, September 28, 2023",1017099,1754,LemonZest,131.86,258.1632
"Thursday, October 26, 2023",1018783,1840,MangoBliss,164.456,258.1632
"Thursday, March 09, 2023",1012298,1428,TropicalTwist,3.724,258.1632
"Sunday, December 31, 2023",1013616,378,TropicalTwist,5.268,258.1632
"Saturday, December 09, 2023",1010286,1581,MintCooler,9.764,258.1632
"Saturday, March 18, 2023",1015613,2243,PeachPunch,10.888,258.1632
"Sunday, March 05, 2023",1017649,1485,GingerFizz,28.452,258.1632
"Wednesday, August 30, 2023",1013722,507,MintCooler,50.932,258.1632
"Thursday, July 20, 2023",1015465,1280,PeachPunch,55.428,258.1632
"Monday, March 13, 2023",1015350,432,GingerFizz,57.676,258.1632
"Tuesday, August 15, 2023",1018919,1084,BerryBlast,72.288,258.1632
"Tuesday, March 14, 2023",1007210,621,PeachPunch,85.148,258.1632
"Tuesday, August 01, 2023",1012724,2436,ChocoDelight,91.396,258.1632
"Wednesday, September 27, 2023",1008267,2835,LemonZest,64.736,258.1632
"Saturday, June 10, 2023",1010233,610,MangoBliss,158.836,258.1632
"Sunday, February 26, 2023",1014935,5,ChocoDelight,177.944,258.1632
"Sunday, July 23, 2023",1009624,1248,MintCooler,191.432,258.1632
"Saturday, May 27, 2023",1017282,714,TropicalTwist,193.68,258.1632
"Wednesday, December 20, 2023",1019287,2544,FizzBerry,199.3,274.2984
"Sunday, March 12, 2023",1011054,809,FizzBerry,84.112,274.2984
"Sunday, October 15, 2023",1013318,1804,GingerFizz,86.36,274.2984
"Tuesday, March 21, 2023",1010628,1559,MintCooler,27.164,274.2984
"Friday, April 07, 2023",1018393,105,PeachPunch,29.036,274.2984
"Wednesday, July 12, 2023",1016745,2621,CitrusSplash,60.508,274.2984
"Saturday, January 07, 2023",1011017,595,ChocoDelight,62.756,274.2984
"Saturday, June 24, 2023",1006946,918,GingerFizz,81.688,274.2984
"Sunday, September 24, 2023",1007583,2463,MangoBliss,39.1,274.2984
"Friday, June 09, 2023",1013695,2477,CitrusSplash,107.716,274.2984
"Sunday, April 23, 2023",1013785,2561,MintCooler,108.84,274.2984
"Wednesday, May 31, 2023",1010095,478,LemonZest,154.924,274.2984
"Monday, March 27, 2023",1006421,2128,PeachPunch,159.12,274.2984
"Monday, December 11, 2023",1012774,1598,MangoBliss,171.784,274.2984
"Saturday, February 25, 2023",1012033,1884,LemonZest,185.272,274.2984
"Tuesday, March 14, 2023",1011336,2645,FizzBerry,210,289.142784
"Friday, February 10, 2023",1010147,958,BerryBlast,99.3512,290.4336
"Tuesday, August 22, 2023",1005426,775,PeachPunch,11.624,290.4336
"Friday, December 01, 2023",1007318,466,MangoBliss,18.344,290.4336
"Thursday, August 31, 2023",1015855,2841,TropicalTwist,24.332,290.4336
"Tuesday, January 03, 2023",1015631,2339,TropicalTwist,26.248,290.4336
